dialogs,Images,Hindi dialogues
Kuro Otoharada,image_46,कुरोटोरा
*Stares Timer*,image_47,* स्टार्स टाइमर *
"Hmm, a heart attack in forty seconds? ",image_48,"हम्म, चालीस सेकंड में दिल का दौरा?"
We'll see.,image_49,हम देखेंगे।
"At the present time, that's all the police is telling us.",image_50,"वर्तमान समय में, यह सब पुलिस हमें बता रही है।"
*Reporting continues*,image_51,* रिपोर्टिंग जारी है *
*Light waiting for forty seconds*,image_52,* चालीस सेकंड के लिए प्रकाश की प्रतीक्षा *
  ,image_53,   
Looks like the notebook doesn't work.,image_54,ऐसा लगता है कि नोटबुक काम नहीं करता है।
"Oh well, I didn't expect it to anyway.",image_55,"ओह ठीक है, मुझे वैसे भी इसकी उम्मीद नहीं थी।"
"Wait, we're seeing something here!",image_56,"रुको, हम यहाँ कुछ देख रहे हैं!"
Looks like there's movement at front entrance!,image_57,ऐसा लगता है कि सामने प्रवेश द्वार पर आंदोलन है!
"The hostages are coming out, 
and they all look to be unharmed!",image_58,"बंधकों को बाहर आ रहे हैं,
और वे सभी अहानिकर लग रहे हैं!"
"The Special Forces are moving in! We don't
know if the suspect's been arrested.",image_59,"विशेष बल में बढ़ रहे हैं! हम नहीं करते
पता है कि क्या संदिग्ध को गिरफ्तार किया गया है।"
" Huh? Yes? Ok, we now have confirmation. ",image_60,"हुह? हाँ? ठीक है, अब हमारे पास पुष्टि है।"
"The suspect has been found dead inside! 
I repeat, the suspect is now dead!",image_61,"संदिग्ध को अंदर मृत पाया गया है!
मैं दोहराता हूं, संदिग्ध अब मर चुका है!"
Dead?,image_62,मौत?
"Well, according to statements from hostages 
the suspect just suddenly collapsed.",image_63,"खैर, बंधकों के बयानों के अनुसार
संदिग्ध बस अचानक ढह गई।"
   ,image_64,   
   ,image_65,   
   ,image_66,   
A heart attack? No way!,image_67,दिल का दौरा? बिल्कुल नहीं!
It's coincidence! ,image_68,यह संयोग है!
This has to be a coincidence!,image_69,यह एक संयोग होना है!
"The Death Note, it's unlikely",image_70,"द डेथ नोट, इसकी संभावना नहीं है"
"but if by chance this thing is for real,",image_71,"लेकिन अगर संयोग से यह बात असली है,"
I have to test it one more time,image_72,फिर मुझे इसे एक बार और परीक्षण करना होगा
   ,image_73,   
   ,image_74,   
,image_75,   
